team,continente,seleccion,cod_img
ARG.png,CONMEBOL,Argentina,ARG
AUS.png,AFC,Australia,AUS
BEL.png,UEFA,Belgium,BEL
BRA.png,CONMEBOL,Brazil,BRA
CAN.png,CONCACAF,Canada,CAN
CMR.png,CAF,Cameroon,CMR
CRC.png,CONCACAF,Costa Rica,CRC
CRO.png,UEFA,Croatia,CRO
DEN.png,UEFA,Denmark,DEN
ECU.png,CONMEBOL,Ecuador,ECU
ENG.png,UEFA,England,ENG
ESP.png,UEFA,Spain,ESP
FRA.png,UEFA,France,FRA
GER.png,UEFA,Germany,GER
GHA.png,CAF,Ghana,GHA
IRN.png,AFC,Iran,IRN
JPN.png,AFC,Japan,JPN
KOR.png,AFC,Korea Republic,KOR
KSA.png,AFC,Saudi_Arabia,KSA
MAR.png,CAF,Morocco,MAR
MEX.png,CONCACAF,Mexico,MEX
NED.png,UEFA,Netherlands,NED
POL.png,UEFA,Poland,POL
POR.png,UEFA,Portugal,POR
QAT.png,AFC,Qatar,QAT
SEN.png,CAF,Senegal,SEN
SRB.png,UEFA,Serbia,SRB
SUI.png,UEFA,Switzerland,SUI
TUN.png,CAF,Tunisia,TUN
URU.png,CONMEBOL,Uruguay,URU
USA.png,CONCACAF,United States,USA
WAL.png,UEFA,Wales,WAL
